id,gene_name,gene_id_ensembl101,gene_type,entrez_id
ENSG00000232002,LINC01880,ENSG00000232002,lncRNA,105373979
ENSG00000221539,SNORD99,ENSG00000221539,snoRNA,692212
ENSG00000279064,FP236315.1,ENSG00000279064,lncRNA,
ENSG00000254920,AC027369.4,ENSG00000254920,unprocessed_pseudogene,
ENSG00000231378,NDUFAF4P4,ENSG00000231378,processed_pseudogene,100128889
ENSG00000257323,AC123904.2,ENSG00000257323,processed_pseudogene,
ENSG00000257364,VENTXP3,ENSG00000257364,processed_pseudogene,349814
ENSG00000260286,ARMH2,ENSG00000260286,protein_coding,101928603
ENSG00000117394,SLC2A1,ENSG00000117394,protein_coding,6513
ENSG00000226235,LEMD1-AS1,ENSG00000226235,lncRNA,284576
ENSG00000261654,AL360270.2,ENSG00000261654,lncRNA,
ENSG00000125084,WNT1,ENSG00000125084,protein_coding,7471
ENSG00000264799,,,,
ENSG00000263834,MIR4635,ENSG00000263834,miRNA,100616479
ENSG00000251615,AC104825.1,ENSG00000251615,lncRNA,
ENSG00000254227,AC024681.2,ENSG00000254227,lncRNA,
ENSG00000259443,AC012414.3,ENSG00000259443,lncRNA,
ENSG00000241537,AC134050.1,ENSG00000241537,processed_pseudogene,
ENSG00000030304,MUSK,ENSG00000030304,protein_coding,4593
ENSG00000172288,CDY1,ENSG00000172288,protein_coding,9085
ENSG00000270369,AL591684.3,ENSG00000270369,processed_pseudogene,
ENSG00000258678,LINC02317,ENSG00000258678,lncRNA,101930294
ENSG00000233469,ST6GALNAC4P1,ENSG00000233469,processed_pseudogene,100874524
ENSG00000238211,POLR2LP1,ENSG00000238211,processed_pseudogene,493825
ENSG00000220256,AC093802.1,ENSG00000220256,lncRNA,
ENSG00000212497,RNA5SP465,ENSG00000212497,rRNA_pseudogene,100873709
ENSG00000280799,DUX4L5,ENSG00000280799,unprocessed_pseudogene,653545
ENSG00000261840,AC093249.6,ENSG00000261840,lncRNA,
ENSG00000234769,WASH4P,ENSG00000234769,unprocessed_pseudogene,374677
ENSG00000252705,RNU6-175P,ENSG00000252705,snRNA,106480558
ENSG00000199812,RNU6-428P,ENSG00000199812,snRNA,106481894
ENSG00000164266,SPINK1,ENSG00000164266,protein_coding,6690
ENSG00000261399,AL031710.1,ENSG00000261399,lncRNA,
ENSG00000258467,PHKBP2,ENSG00000258467,unprocessed_pseudogene,5259
ENSG00000241815,AC107015.1,ENSG00000241815,processed_pseudogene,
ENSG00000187135,VSTM2B,ENSG00000187135,protein_coding,342865
ENSG00000206344,HCG27,ENSG00000206344,lncRNA,253018
ENSG00000274491,AL132655.4,ENSG00000274491,misc_RNA,
ENSG00000240877,RN7SL521P,ENSG00000240877,misc_RNA,106479413
ENSG00000278126,AC139768.1,ENSG00000278126,lncRNA,
